# TIme [sec], u_max, v_max, w_max [m/s], t_max [K]
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.73000e+02
3.99162e-03 1.12932e-01 1.12932e-01 9.14123e-02 5.73000e+02
6.97917e-03 1.91855e-01 1.91854e-01 1.54503e-01 5.73000e+02
9.44940e-03 2.51660e-01 2.51659e-01 2.01645e-01 5.73000e+02
1.16099e-02 2.98486e-01 2.98487e-01 2.38206e-01 5.73000e+02
1.35682e-02 3.35717e-01 3.35718e-01 2.68095e-01 5.73000e+02
1.53855e-02 3.65427e-01 3.65429e-01 2.93183e-01 5.73000e+02
1.71008e-02 3.88905e-01 3.88907e-01 3.14522e-01 5.73000e+02
1.87408e-02 4.07077e-01 4.07079e-01 3.32699e-01 5.73000e+02
2.03247e-02 4.20661e-01 4.20664e-01 3.48485e-01 5.73000e+02
2.18670e-02 4.30281e-01 4.30282e-01 3.62439e-01 5.73000e+02
2.33787e-02 4.36536e-01 4.36538e-01 3.76794e-01 5.73000e+02
2.48668e-02 4.39901e-01 4.39903e-01 3.93662e-01 5.73000e+02
2.63350e-02 4.40667e-01 4.40670e-01 4.09423e-01 5.73000e+02
2.77890e-02 4.41131e-01 4.41132e-01 4.24185e-01 5.73000e+02
2.92300e-02 4.55026e-01 4.55027e-01 4.37989e-01 5.73000e+02
3.06364e-02 4.67691e-01 4.67691e-01 4.50647e-01 5.73000e+02
3.20126e-02 4.79174e-01 4.79174e-01 4.62309e-01 5.73000e+02
3.33622e-02 4.89584e-01 4.89585e-01 4.73095e-01 5.73000e+02
3.46883e-02 4.99030e-01 4.99031e-01 4.83095e-01 5.73000e+02
3.59936e-02 5.08037e-01 5.08039e-01 4.92393e-01 5.73000e+02
3.72797e-02 5.17074e-01 5.17075e-01 5.01050e-01 5.73000e+02
3.85476e-02 5.25750e-01 5.25752e-01 5.09114e-01 5.73000e+02
3.97985e-02 5.34466e-01 5.34468e-01 5.16639e-01 5.73000e+02
4.10332e-02 5.42669e-01 5.42671e-01 5.28993e-01 5.73000e+02
4.22497e-02 5.50382e-01 5.50384e-01 5.39623e-01 5.73000e+02
4.34501e-02 5.57650e-01 5.57652e-01 5.48390e-01 5.73000e+02
4.46364e-02 5.64514e-01 5.64516e-01 5.55351e-01 5.73000e+02
4.58106e-02 5.71006e-01 5.71008e-01 5.60589e-01 5.73000e+02
4.69741e-02 5.77157e-01 5.77159e-01 5.64256e-01 5.73000e+02
4.81285e-02 5.82990e-01 5.82992e-01 5.66618e-01 5.73000e+02
4.92749e-02 5.88527e-01 5.88529e-01 5.67709e-01 5.73000e+02
5.04145e-02 5.93788e-01 5.93790e-01 5.69574e-01 5.73000e+02
5.15472e-02 5.98785e-01 5.98787e-01 5.74178e-01 5.73000e+02
5.26719e-02 6.03781e-01 6.04122e-01 5.78539e-01 5.73000e+02
5.37888e-02 6.14303e-01 6.14614e-01 5.82672e-01 5.73000e+02
5.48922e-02 6.23714e-01 6.23992e-01 5.86577e-01 5.73000e+02
5.59838e-02 6.32069e-01 6.32315e-01 5.90270e-01 5.73000e+02
5.70650e-02 6.39454e-01 6.39667e-01 5.93766e-01 5.73000e+02
5.81370e-02 6.45981e-01 6.46165e-01 5.97210e-01 5.73000e+02
5.92008e-02 6.51742e-01 6.51884e-01 6.00591e-01 5.73000e+02
6.02574e-02 6.56828e-01 6.56950e-01 6.03203e-01 5.73000e+02
6.13078e-02 6.61349e-01 6.61449e-01 6.12966e-01 5.73000e+02
6.23494e-02 6.65392e-01 6.65477e-01 6.23388e-01 5.73000e+02
6.33826e-02 6.69127e-01 6.69194e-01 6.33641e-01 5.73000e+02
6.44077e-02 6.72669e-01 6.72724e-01 6.43711e-01 5.73000e+02
6.54253e-02 6.84764e-01 6.84756e-01 6.53571e-01 5.73000e+02
6.64277e-02 6.97947e-01 6.97949e-01 6.63107e-01 5.73000e+02
6.74146e-02 7.10100e-01 7.10109e-01 6.72270e-01 5.73000e+02
6.83875e-02 7.21327e-01 7.21341e-01 6.81049e-01 5.73000e+02
6.93477e-02 7.31821e-01 7.31839e-01 6.89431e-01 5.73000e+02
7.02961e-02 7.41716e-01 7.41739e-01 6.97859e-01 5.73000e+02
7.12335e-02 7.51030e-01 7.51042e-01 7.07309e-01 5.73000e+02
7.21603e-02 7.59737e-01 7.59759e-01 7.16604e-01 5.73000e+02
7.30771e-02 7.67843e-01 7.67871e-01 7.25741e-01 5.73000e+02
7.39847e-02 7.75292e-01 7.75325e-01 7.34718e-01 5.73000e+02
7.48837e-02 7.82213e-01 7.82250e-01 7.43535e-01 5.73000e+02
7.57748e-02 7.88735e-01 7.88775e-01 7.52186e-01 5.73000e+02
7.66584e-02 7.94933e-01 7.94971e-01 7.60665e-01 5.73000e+02
7.75348e-02 8.00861e-01 8.00900e-01 7.68958e-01 5.73000e+02
7.84046e-02 8.06566e-01 8.06605e-01 7.77054e-01 5.73000e+02
7.92679e-02 8.12047e-01 8.12087e-01 7.84934e-01 5.73000e+02
8.01250e-02 8.17339e-01 8.17375e-01 7.92543e-01 5.73000e+02
8.09764e-02 8.22475e-01 8.22511e-01 8.00332e-01 5.73000e+02
8.18219e-02 8.27439e-01 8.27478e-01 8.08769e-01 5.73000e+02
8.26618e-02 8.32256e-01 8.32303e-01 8.17105e-01 5.73000e+02
8.34961e-02 8.36990e-01 8.37037e-01 8.25331e-01 5.73000e+02
8.43249e-02 8.41595e-01 8.41643e-01 8.33439e-01 5.73000e+02
8.51486e-02 8.46090e-01 8.46139e-01 8.41423e-01 5.73000e+02
8.59672e-02 8.50496e-01 8.50545e-01 8.49276e-01 5.73000e+02
8.67808e-02 8.54834e-01 8.54886e-01 8.56988e-01 5.73000e+02
8.75897e-02 8.59114e-01 8.59165e-01 8.64546e-01 5.73000e+02
8.83939e-02 8.64831e-01 8.64907e-01 8.71933e-01 5.73000e+02
8.91928e-02 8.73994e-01 8.74074e-01 8.79133e-01 5.73000e+02
8.99845e-02 8.82611e-01 8.82693e-01 8.86627e-01 5.73000e+02
9.07693e-02 8.90760e-01 8.90844e-01 8.94396e-01 5.73000e+02
9.15476e-02 8.98460e-01 8.98542e-01 9.02071e-01 5.73000e+02
9.23197e-02 9.05793e-01 9.05877e-01 9.09697e-01 5.73000e+02
9.30860e-02 9.12803e-01 9.12888e-01 9.17284e-01 5.73000e+02
9.38466e-02 9.19496e-01 9.19580e-01 9.24796e-01 5.73000e+02
9.46019e-02 9.25900e-01 9.25984e-01 9.32236e-01 5.73000e+02
9.53521e-02 9.32054e-01 9.32137e-01 9.39595e-01 5.73000e+02
9.60974e-02 9.37995e-01 9.38079e-01 9.46863e-01 5.73000e+02
9.68379e-02 9.43747e-01 9.43830e-01 9.54044e-01 5.73000e+02
9.75739e-02 9.49331e-01 9.49413e-01 9.61136e-01 5.73000e+02
9.83055e-02 9.54773e-01 9.54854e-01 9.68133e-01 5.73000e+02
9.90329e-02 9.60097e-01 9.60177e-01 9.75034e-01 5.73000e+02
9.97561e-02 9.65319e-01 9.65398e-01 9.82092e-01 5.73000e+02
1.00475e-01 9.70444e-01 9.70526e-01 9.89273e-01 5.73000e+02
1.01190e-01 9.75482e-01 9.75562e-01 9.96412e-01 5.73000e+02
